,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53
cle-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lgc-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col-166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maoc-1,32.01559,12.794736,5.8368597,11.754748,22.123894,3.2589214,11.8583765,10.400415,17.167383,8.491848,17.555058,25.723473,9.392191,7.8369904,29.801327,21.960472,9.332711,6.0707235,11.918951,4.4606347,10.562849,25.777103,19.773504,11.313817,16.425756,7.1500072,11.677695,18.685238,9.533797,14.0274315,13.392003,7.114906,12.064343,7.701194,19.369835,4.8169556,22.759104,3.6370249,0.0,8.386448,40.7463,12.160168,12.716354,9.860312,45.700745,16.129032,34.08897,21.162842,62.817825,33.144592,16.153847,19.520357,37.71687,23.464163
elt-7,8.351893,3.6556387,23.347439,16.926838,7.901391,9.776764,22.0227,6.50026,22.317596,5.0951085,0.0,17.455214,8.050449,15.673981,11.589404,17.967659,10.888164,13.659128,7.945967,11.895026,9.05387,22.744503,12.583139,9.8995905,18.06833,10.01001,13.623978,32.2745,12.393936,9.351621,7.652573,12.451085,15.41555,21.178282,19.369835,9.633911,7.002801,14.5480995,24.042906,16.772896,19.300879,13.463042,11.303426,6.5735416,22.004063,10.26393,17.044485,37.87035,11.965301,16.572296,25.384617,19.520357,20.115664,21.331059
hsp-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4342917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AH9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F53B3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abts-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5959144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5163002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6433854,0.0,0.0,0.0,1.1138338,0.0,0.0,0.0,0.0,0.0,0.0
C14B9.2,2.7839644,0.0,2.9184299,4.2317095,3.1605563,1.6294607,6.776215,2.6001039,3.4334764,1.6983695,0.0,1.8373909,1.3417416,6.2695923,4.9668875,1.9964066,0.0,0.0,1.3243278,0.74343914,0.0,3.0326004,0.0,2.8284543,1.6425756,1.4300015,9.731413,1.6986581,1.9067595,1.5586034,1.9131433,1.7787265,2.6809652,0.0,0.0,6.4226074,0.0,0.0,0.0,0.0,8.578168,3.4743335,2.8258564,4.930156,0.0,2.9325514,3.4088972,2.2276676,0.0,2.7620494,0.0,0.0,2.514458,6.3993173
