Cell,celltypes
Cell503,Endocardium
Cell504,Endocardium
Cell505,Endocardium
Cell506,Endocardium
Cell507,Endocardium
Cell508,Endocardium
Cell509,Endocardium
Cell510,Endocardium
Cell511,Endocardium
Cell512,Endocardium
Cell513,Endocardium
Cell514,Endocardium
Cell515,Endocardium
Cell516,Endocardium
Cell517,Endocardium
Cell518,Endocardium
Cell519,Endocardium
Cell520,Endocardium
Cell521,Endocardium
Cell522,Endocardium
Cell523,Endocardium
Cell524,Endocardium
Cell525,Endocardium
Cell526,Endocardium
Cell527,Endocardium
Cell528,Endocardium
Cell529,Endocardium
Cell530,Endocardium
Cell531,Endocardium
Cell532,Endocardium
Cell533,Endocardium
Cell534,Endocardium
Cell535,Endocardium
Cell536,Endocardium
Cell537,Endocardium
Cell538,Endocardium
Cell539,Endocardium
Cell540,Endocardium
Cell541,Endocardium
Cell542,Endocardium
Cell543,Endocardium
Cell544,Endocardium
Cell545,Endocardium
Cell546,Endocardium
Cell547,Endocardium
Cell548,Endocardium
Cell549,Endocardium
Cell550,Endocardium
Cell551,Endocardium
Cell552,Endocardium
Cell553,Endocardium
Cell554,Endocardium
Cell555,Endocardium
Cell556,Endocardium
Cell557,Endocardium
Cell558,Endocardium
Cell559,Endocardium
Cell560,Endocardium
Cell561,Endocardium
Cell562,Endocardium
Cell563,Endocardium
Cell564,Endocardium
Cell565,Endocardium
Cell566,Endocardium
Cell567,Endocardium
Cell568,Endocardium
Cell569,Endocardium
Cell570,Endocardium
Cell571,Endocardium
Cell572,Endocardium
Cell573,Endocardium
Cell574,Endocardium
Cell575,Endocardium
Cell576,Endocardium
Cell577,Endocardium
Cell578,Endocardium
Cell579,Endocardium
Cell580,Endocardium
Cell581,Endocardium
Cell582,Endocardium
Cell583,Epicardium
Cell584,Epicardium
Cell585,Epicardium
Cell586,Epicardium
Cell587,Epicardium
Cell588,Epicardium
Cell589,Epicardium
Cell590,Epicardium
Cell591,Epicardium
Cell592,Epicardium
Cell593,Epicardium
Cell594,Epicardium
Cell595,Epicardium
Cell596,Epicardium
Cell597,Epicardium
Cell598,Epicardium
Cell599,Epicardium
Cell600,Epicardium
Cell601,Epicardium
Cell602,Epicardium
Cell603,Epicardium
Cell604,Epicardium
Cell605,Epicardium
Cell606,Epicardium
Cell607,Epicardium
Cell608,Epicardium
Cell609,Epicardium
Cell610,Epicardium
